"Publication Type","Authors","Book Authors","Book Editors","Book Group Authors","Author Full Names","Book Author Full Names","Group Authors","Article Title","Source Title","Book Series Title","Book Series Subtitle","Language","Document Type","Conference Title","Conference Date","Conference Location","Conference Sponsor","Conference Host","Author Keywords","Keywords Plus","Abstract","Addresses","Affiliations","Reprint Addresses","Email Addresses","Researcher Ids","ORCIDs","Funding Orgs","Funding Name Preferred","Funding Text","Cited References","Cited Reference Count","Times Cited, WoS Core","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","Publisher","Publisher City","Publisher Address","ISSN","eISSN","ISBN","Journal Abbreviation","Journal ISO Abbreviation","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","DOI","DOI Link","Book DOI","Early Access Date","Number of Pages","WoS Categories","Web of Science Index","Research Areas","IDS Number","Pubmed Id","Open Access Designations","Highly Cited Status","Hot Paper Status","Date of Export","UT (Unique WOS ID)","Web of Science Record"
"C","Li, Y; Liu, ZL; Zheng, ZB","","Zheng, Z; Dai, HN; Tang, M; Chen, X","","Li, Yang; Liu, Zilu; Zheng, Zibin","","","Quantitative Analysis of Bitcoin Transferred in Bitcoin Exchange","BLOCKCHAIN AND TRUSTWORTHY SYSTEMS, BLOCKSYS 2019","Communications in Computer and Information Science","","English","Proceedings Paper","1st International Conference on Blockchain and Trustworthy Systems (BlockSys)","DEC 07-08, 2019","Guangzhou, PEOPLES R CHINA","","","Bitcoin exchanges; Bitcoin wallet; Clustering; Time series; Prediction","","In this paper, a new Bitcoin address clustering algorithm is proposed for Bitcoin exchanges. The proposed algorithm aims to classify the cold wallets, hot wallets and user wallets in the Bitcoin exchanges, which are verified by off-chain information from the Internet. By analyzing the structures of different Bitcoin exchanges, we find that most Bitcoin exchanges exist weakness in managing the reasonable amounts of bitcoins kept in hot wallets. A large amount of Bitcoins stored in hot wallets can meet the users' withdrawal demands but may increase the risk of attack. However, a small amount of bitcoins in hot wallet may be inconvenient to frequently transfer for cold wallet. The problem then is modeled as a Bitcoin withdrawal prediction problem for hot wallets. We adopt traditional and classific supervised learning methods to solve the problems. Numerical experiments show that the proposed approach provides reasonable prediction results. Furthermore, we simulate two processes to analyze our results. The first process shows that Facebook-prophet outperforms other methods if there is no transaction occurred from cold wallets to hot wallet. The second process shows that the more transactions from cold wallets to hot wallets, the smaller Bitcoins required for hot wallets. Overall, our work is valuable and useful for the Bitcoin exchanges' business.","[Li, Yang; Liu, Zilu; Zheng, Zibin] Sun Yat Sen Univ, Sch Data & Comp Sci, Guangzhou 510275, Peoples R China; [Li, Yang; Liu, Zilu; Zheng, Zibin] Sun Yat Sen Univ, Natl Engn Res Ctr Digital Life, Guangzhou, Peoples R China","Sun Yat Sen University; Sun Yat Sen University","Li, Y (corresponding author), Sun Yat Sen Univ, Sch Data & Comp Sci, Guangzhou 510275, Peoples R China.;Li, Y (corresponding author), Sun Yat Sen Univ, Natl Engn Res Ctr Digital Life, Guangzhou, Peoples R China.","liyang99@mail2.sysu.edu.cn; liuzl9@mail2.sysu.edu.cn; zhzibin@mail.sysu.edu.cn","Zheng, Zibin/E-3024-2014; Zheng, Zibin/HCH-2408-2022","Zheng, Zibin/0000-0002-7878-4330; Zheng, Zibin/0000-0002-7878-4330; Li, Yang/0000-0001-5653-1829","National Key Research and Development Program [2016YFB1000101]; National Natural Science Foundation of China [U1811461, 61722214]; Guangdong Province Universities and Colleges Pearl River Scholar Funded Scheme","National Key Research and Development Program; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Guangdong Province Universities and Colleges Pearl River Scholar Funded Scheme","The work described in this paper was supported by the National Key Research and Development Program (2016YFB1000101), the National Natural Science Foundation of China (U1811461, 61722214) and the Guangdong Province Universities and Colleges Pearl River Scholar Funded Scheme (2016).","","15","0","0","2","20","SPRINGER-VERLAG SINGAPORE PTE LTD","SINGAPORE","152 BEACH ROAD, #21-01/04 GATEWAY EAST, SINGAPORE, 189721, SINGAPORE","1865-0929","1865-0937","978-981-15-2777-7; 978-981-15-2776-0","COMM COM INF SC","","","2020","1156","","","","","","549","562","","10.1007/978-981-15-2777-7_44","http://dx.doi.org/10.1007/978-981-15-2777-7_44","","","14","Computer Science, Theory & Methods","Conference Proceedings Citation Index - Science (CPCI-S)","Computer Science","BR5RE","","","","","2022-12-04","WOS:000656861800044","View Full Record in Web of Science"
"J","Rajput, SKO; Soomro, IA; Soomro, NA","","","","Oad Rajput, Suresh Kumar; Soomro, Ishfaque Ahmed; Soomro, Najma Ali","","","Bitcoin Sentiment Index, Bitcoin Performance and US Dollar Exchange Rate","JOURNAL OF BEHAVIORAL FINANCE","","","English","Article","","","","","","Bitcoin sentiments; Bitcoin returns; Bitcoin volatility; Exchange rate; Google trends","","This study introduces a comprehensive Google search volume based Bitcoin Sentiment Index (BSI) and investigates its symmetric and asymmetric association with Bitcoin's returns, volume, and volatility, and with United States Dollar (USD) exchange rates. Our results indicate a positive association of BSI with Bitcoin's returns and volume, but a negative relationship with its return volatility. Besides, Bitcoin's optimistic sentiments have an asymmetric relationship with the USD exchange rate in the short-run, and the Bitcoin price has an asymmetric and negative association with USD in the short-run and long-run. We also found a 35.47% speed of adjustment to long-run equilibrium.","[Oad Rajput, Suresh Kumar; Soomro, Ishfaque Ahmed; Soomro, Najma Ali] Sukkur IBA Univ, Sukkur, Pakistan","Sukkur IBA University","Rajput, SKO (corresponding author), Sukkur IBA Univ, Dept Business Adm, Sukkur, Pakistan.","suresh_kumar@iba-suk.edu.pk","","RAJPUT, SURESH KUMAR OAD/0000-0003-4443-0750","","","","","51","7","7","6","40","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","1542-7560","1542-7579","","J BEHAV FINANC","J. Behav. Financ.","MAY 16","2022","23","2","","","","","150","165","","10.1080/15427560.2020.1864735","http://dx.doi.org/10.1080/15427560.2020.1864735","","DEC 2020","16","Business, Finance; Economics","Social Science Citation Index (SSCI)","Business & Economics","1H1AF","","","","","2022-12-04","WOS:000603835500001","View Full Record in Web of Science"
"J","Warmke, C","","","","Warmke, Craig","","","What is bitcoin?","INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY","","","English","Article; Early Access","","","","","","Bitcoin; metaphysics; fiction; modeling","","Many want to know what bitcoin is and how it works. But bitcoin is as complex as it is controversial, and relatively few have the technical background to understand it. In this paper, I offer an accessible on-ramp for understanding bitcoin in the form of a model. My model reveals both what bitcoin is and how it works. More specifically, it reveals that bitcoin is a fictional substance in a massively coauthored story on a network that automates and distributes jobs normally entrusted to centralized publishing institutions. My model therefore falsifies a popular view according to which each bitcoin is a chunk of code.","[Warmke, Craig] Northern Illinois Univ, Dept Philosophy, De Kalb, IL 60115 USA","Northern Illinois University","Warmke, C (corresponding author), Northern Illinois Univ, Dept Philosophy, De Kalb, IL 60115 USA.","warmke@niu.edu","","Warmke, Craig/0000-0002-8894-9055","","","","","91","1","1","11","82","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","0020-174X","1502-3923","","INQUIRY","Inquiry-Interdiscip. J. Philos.","","","","","","","","","","","","10.1080/0020174X.2020.1860123","http://dx.doi.org/10.1080/0020174X.2020.1860123","","DEC 2020","43","Ethics; Philosophy","Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)","Social Sciences - Other Topics; Philosophy","PQ6YZ","","","","","2022-12-04","WOS:000606691700001","View Full Record in Web of Science"
"C","Rezaei, F; Naseri, S; Eyal, I; Houmansadr, A","","Park, N; Sun, K; Foresti, S; Butler, K; Saxena, N","","Rezaei, Fatemeh; Naseri, Shahrzad; Eyal, Ittay; Houmansadr, Amir","","","The Bitcoin Hunter: Detecting Bitcoin Traffic over Encrypted Channels","SECURITY AND PRIVACY IN COMMUNICATION NETWORKS (SECURECOMM 2020), PT I","Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering","","English","Proceedings Paper","16th EAI International Conference on Security and Privacy in Communication Networks (SecureComm)","OCT 21-23, 2020","ELECTR NETWORK","EAI","","Bitcoin; Traffic analysis; Blocking-resistance","CLASSIFICATION","Bitcoin and similar blockchain-based currencies are significant to consumers and industry because of their applications in electronic commerce and other trust-based distributed systems. Therefore, it is of paramount importance to the consumers and industry to maintain reliable access to their Bitcoin assets. In this paper, we investigate the resilience of Bitcoin to blocking by the powerful network entities such as ISPs and governments. By characterizing Bitcoin's communication patterns, we design classifiers that can distinguish (and therefore block) Bitcoin traffic even if it is tunneled through an encrypted channel like Tor and even if Bitcoin traffic is being mixed with background traffic, e.g., due to browsing websites. We perform extensive experiments to demonstrate the reliability of our classifiers in identifying Bitcoin traffic even despite using obfuscation protocols like Tor Pluggable Ttransports. We conclude that standard obfuscation mechanisms are not enough to ensure blocking-resilient access to Bitcoin (and similar cryptocurrencies), therefore cryptocurrency operators should deploy tailored traffic obfuscation mechanisms.","[Rezaei, Fatemeh; Naseri, Shahrzad; Houmansadr, Amir] Univ Massachusetts, Amherst, MA 01003 USA; [Eyal, Ittay] Technion, Haifa, Israel","University of Massachusetts System; University of Massachusetts Amherst","Rezaei, F (corresponding author), Univ Massachusetts, Amherst, MA 01003 USA.","frezaei@cs.umass.edu; shnaseri@cs.umass.edu; ittay@technion.ac.il; amir@cs.umass.edu","","","NSF CAREER [CNS1553301]; BSF","NSF CAREER(National Science Foundation (NSF)NSF - Office of the Director (OD)); BSF(US-Israel Binational Science Foundation)","The work was supported by the NSF CAREER grant CNS1553301 and BSF.","","45","0","0","1","2","SPRINGER INTERNATIONAL PUBLISHING AG","CHAM","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","1867-8211","1867-822X","978-3-030-63086-7; 978-3-030-63085-0","L N INST COMP SCI SO","","","2020","335","","","","","","152","171","","10.1007/978-3-030-63086-7_10","http://dx.doi.org/10.1007/978-3-030-63086-7_10","","","20","Computer Science, Information Systems; Computer Science, Theory & Methods; Telecommunications","Conference Proceedings Citation Index - Science (CPCI-S)","Computer Science; Telecommunications","BS8AQ","","","","","2022-12-04","WOS:000769661600010","View Full Record in Web of Science"
"J","Xu, JY; Bai, W; Hu, M; Tian, HB; Wu, D","","","","Xu, Jieyu; Bai, Wen; Hu, Miao; Tian, Haibo; Wu, Di","","","Bitcoin miners: Exploring a covert community in the Bitcoin ecosystem","PEER-TO-PEER NETWORKING AND APPLICATIONS","","","English","Article","","","","","","Bitcoin; Mining; Measurement; Transactions","INEFFICIENCY; EVOLUTION","In the Bitcoin ecosystem, bitcoin miners play an indispensable role in maintaining the Bitcoin's blockchain. As a consequence, they are also rewarded with newly-created bitcoins and transaction fees. However, there are very limited studies to fully understand the characteristics and behaviors of bitcoin miners. In this paper, we conduct a comprehensive measurement study to shed insights into the community of bitcoin miners. By analyzing over ten-year bitcoin transaction logs, we observe that the scale of bitcoin miners shrinks significantly in recent years, and a small fraction of miners received most of newly generated bitcoins. In the early stage of the Bitcoin ecosystem, the mining reward was evenly distributed among miners, but later became more concentrated to a few highly active miners. For most of miners, their active duration is less than one year, and the interval between consecutive mining actions is more than 100 days. By further examining the transaction flows, we find that a significant portion of bitcoins have been hoarded for over 5 years, and the hoarding phenomenon becomes intense in recent years. We also discuss the implications of our findings, and believe our measurements enable us to have a better understanding of the whole Bitcoin ecosystem.","[Xu, Jieyu; Bai, Wen; Hu, Miao; Tian, Haibo; Wu, Di] Sun Yat Sen Univ, Mega Educ Ctr, Sch Data & Comp Sci, Guangzhou 510006, Peoples R China; [Xu, Jieyu; Bai, Wen; Hu, Miao; Tian, Haibo; Wu, Di] Guangdong Key Lab Big Data Anal & Proc, Guangzhou 510006, Peoples R China; [Tian, Haibo] GuangDong Prov Key Lab Informat Secur Technol, Guangzhou 510006, Peoples R China","Sun Yat Sen University","Wu, D (corresponding author), Sun Yat Sen Univ, Mega Educ Ctr, Sch Data & Comp Sci, Guangzhou 510006, Peoples R China.;Wu, D (corresponding author), Guangdong Key Lab Big Data Anal & Proc, Guangzhou 510006, Peoples R China.","xujy56@mail2.sysu.edu.cn; baiw6@mail2.sysu.edu.cn; humiao@outlook.com; tianhb@mail.sysu.edu.cn; wudi27@mail.sysu.edu.cn","","","National Key R&D Program of China [2018YFC0830502]; National Natural Science Foundation of China [U1911201, 61802452, 62072486]; Guangdong Special Support Program [2017TX04X148]; Natural Science Foundation of Guangdong Province of China [2018A0303130133]; project PCL Future Greater-Bay Area Network Facilities for Large-scale Experiments and Applications [LZC0019]","National Key R&D Program of China; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Guangdong Special Support Program; Natural Science Foundation of Guangdong Province of China(National Natural Science Foundation of Guangdong Province); project PCL Future Greater-Bay Area Network Facilities for Large-scale Experiments and Applications","This work was supported by the National Key R&D Program of China (2018YFC0830502), the National Natural Science Foundation of China under Grant U1911201, 61802452, 62072486, Guangdong Special Support Program under Grant 2017TX04X148, the project PCL Future Greater-Bay Area Network Facilities for Large-scale Experiments and Applications (LZC0019), Natural Science Foundation of Guangdong Province of China (2018A0303130133).","","33","1","1","1","32","SPRINGER","NEW YORK","ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","1936-6442","1936-6450","","PEER PEER NETW APPL","Peer Peer Netw. Appl.","MAR","2021","14","2","","","","","644","654","","10.1007/s12083-020-01021-1","http://dx.doi.org/10.1007/s12083-020-01021-1","","OCT 2020","11","Computer Science, Information Systems; Telecommunications","Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)","Computer Science; Telecommunications","QK8TR","","","","","2022-12-04","WOS:000583128300001","View Full Record in Web of Science"
"J","Shynkevich, A","","","","Shynkevich, Andrei","","","Impact of bitcoin futures on the informational efficiency of bitcoin spot market","JOURNAL OF FUTURES MARKETS","","","English","Article","","","","","","bitcoin futures; bitcoin price; data snooping; informational efficiency; return predictability; technical analysis","TRADING RULE PROFITS; SHORT-TERM PREDICTABILITY; TECHNICAL ANALYSIS; PRICE DISCOVERY; REALITY CHECK; INEFFICIENCY; HYPOTHESIS; VOLATILITY; RETURNS","This study examines the informational efficiency of the bitcoin spot market by evaluating the predictive power of mechanical trading rules designed to exploit price continuation. Significant return predictability is found until the introduction of bitcoin futures in December 2017. The forecasting ability of trend-chasing trading rules declines dramatically afterwards. Although evidence suggests that the introduction of bitcoin futures has increased the informational efficiency of the bitcoin spot market, no signs of improvement in informational efficiency are found in ethereum, the second-largest cryptocurrency-following the introduction of bitcoin futures.","[Shynkevich, Andrei] Kent State Univ, Coll Business Adm, Kent, OH 44242 USA","University System of Ohio; Kent State University; Kent State University Kent; Kent State University Salem","Shynkevich, A (corresponding author), Kent State Univ, Coll Business Adm, Kent, OH 44242 USA.","ashynkev@kent.edu","","","","","","","57","5","5","7","28","WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","0270-7314","1096-9934","","J FUTURES MARKETS","J. Futures Mark.","JAN","2021","41","1","","","","","115","134","","10.1002/fut.22164","http://dx.doi.org/10.1002/fut.22164","","OCT 2020","20","Business, Finance","Social Science Citation Index (SSCI)","Business & Economics","PE8HN","","","","","2022-12-04","WOS:000576038300001","View Full Record in Web of Science"
"J","Jo, H; Park, H; Shefrin, H","","","","Jo, Hoje; Park, Haehean; Shefrin, Hersh","","","Bitcoin and sentiment","JOURNAL OF FUTURES MARKETS","","","English","Article","","","","","","behavioral finance; bitcoin; bubble; cryptocurrency","INVESTOR SENTIMENT; TIME-SERIES; UNIT-ROOT; EQUILIBRIUM; RETURNS; MARKETS","Baker and Wurgler identify high sentiment betas with small startup firms that have great growth potential. On the surface, cryptocurrencies share important features in common with high sentiment beta stocks. This paper investigates the degree to which, during the period July 18, 2010-February 26, 2018, the return to bitcoin displayed the characteristics of a high sentiment beta stock. Using a sentiment-dependent factor model, the analysis indicates that in large measure, bitcoin returns resembled returns to high sentiment beta stocks. Additionally, we show that bitcoin's expected returns are low when sentiment measured by Volatility Index is high while expected returns are high when sentiment is low.","[Jo, Hoje; Shefrin, Hersh] Santa Clara Univ, Dept Finance, Santa Clara, CA 95053 USA; [Park, Haehean] Southwestern Univ Finance & Econ SWUFE, 55 Guanghuacun St, Chengdu 610074, Sichuan, Peoples R China","Santa Clara University","Park, H (corresponding author), Southwestern Univ Finance & Econ SWUFE, 55 Guanghuacun St, Chengdu 610074, Sichuan, Peoples R China.","hhpark@swufe.edu.cn","","","","","","","41","2","2","6","27","WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","0270-7314","1096-9934","","J FUTURES MARKETS","J. Futures Mark.","DEC","2020","40","12","","","","","1861","1879","","10.1002/fut.22156","http://dx.doi.org/10.1002/fut.22156","","AUG 2020","19","Business, Finance","Social Science Citation Index (SSCI)","Business & Economics","OO9ZC","","","","","2022-12-04","WOS:000559805200001","View Full Record in Web of Science"
"J","Kim, W; Lee, J; Kang, K","","","","Kim, Wonse; Lee, Junseok; Kang, Kyungwon","","","The effects of the introduction of Bitcoin futures on the volatility of Bitcoin returns","FINANCE RESEARCH LETTERS","","","English","Article","","","","","","Bitcoin; Bitcoin futures; Intraday volatility; Realized volatility; Discrete Fourier transform","INEFFICIENCY","This paper investigates the effects of the launch of Bitcoin futures on the intraday volatility of Bitcoin. Based on one-minute price data collected from five cryptocurrency exchanges, we first examine the change in realized volatility after the introduction of Bitcoin futures to investigate their aggregate effects on the intraday volatility of Bitcoin. We then analyze the effects in more detail utilizing the discrete Fourier transform. We show that although the Bitcoin market became more volatile immediately after the introduction of Bitcoin futures, over time it has become more stable than it was before the introduction.","[Kim, Wonse] Seoul Natl Univ, Dept Math, Seoul, South Korea; [Lee, Junseok] Seoul Natl Univ, Grad Sch, Dept Math, Seoul, South Korea; [Kang, Kyungwon] Team Presto, Sharon Bld, Seoul, South Korea","Seoul National University (SNU); Seoul National University (SNU)","Kim, W (corresponding author), Seoul Natl Univ, Dept Math, Seoul, South Korea.","aquinasws@snu.ac.kr; asd1206@snu.ac.kr; presto@presto-platform.io","","Kim, Wonse/0000-0002-3336-3612","BK21 PLUS SNU Mathematical Sciences Division","BK21 PLUS SNU Mathematical Sciences Division","This research was supported by BK21 PLUS SNU Mathematical Sciences Division.","","20","14","14","8","33","ACADEMIC PRESS INC ELSEVIER SCIENCE","SAN DIEGO","525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","1544-6123","1544-6131","","FINANC RES LETT","Financ. Res. Lett.","MAR","2020","33","","","","","","","","101204","10.1016/j.frl.2019.06.002","http://dx.doi.org/10.1016/j.frl.2019.06.002","","","8","Business, Finance","Social Science Citation Index (SSCI)","Business & Economics","LR9NN","","Green Submitted","","","2022-12-04","WOS:000536022000040","View Full Record in Web of Science"
"J","Yang, X; Lau, WF; Ye, QQ; Au, MH; Liu, JK; Cheng, J","","","","Yang, Xiao; Lau, Wang Fat; Ye, Qingqing; Au, Man Ho; Liu, Joseph K.; Cheng, Jacob","","","Practical Escrow Protocol for Bitcoin","IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY","","","English","Article","","","","","","Bitcoin; Protocols; Encryption; Privacy; Escrow protocol; Bitcoin; verifiably encrypted ECDSA","OPTIMISTIC FAIR EXCHANGE; VERIFIABLY ENCRYPTED SIGNATURES; AGGREGATE","An escrow protocol for Bitcoin allows fair trading using bitcoins. To ensure fairness, the existing proposals made various trade-offs between trust, privacy, and efficiency. In this work, we evaluate the existing escrow protocols for cryptocurrency and propose a practical escrow protocol for Bitcoin that is: (a) computationally efficient; (b) round efficient; and (c) privacy-preserving. The core component of our escrow protocol for Bitcoin is a new verifiably encrypted ECDSA scheme, which may be of independent interest. Furthermore, we implement the escrow protocol for Bitcoin in Bitcoin mainnet, demonstrating the feasibility of our protocol.","[Yang, Xiao; Lau, Wang Fat; Au, Man Ho] Hong Kong Polytech Univ, Dept Comp, Hong Kong, Peoples R China; [Ye, Qingqing] Renmin Univ China, Sch Informat, Beijing 100872, Peoples R China; [Au, Man Ho] Univ Hong Kong, Dept Comp Sci, Hong Kong, Peoples R China; [Liu, Joseph K.] Monash Univ, Fac IT, Melbourne, Vic 3800, Australia; [Cheng, Jacob] Collinstar Capital, Melbourne, Vic 3000, Australia","Hong Kong Polytechnic University; Renmin University of China; University of Hong Kong; Monash University","Au, MH (corresponding author), Hong Kong Polytech Univ, Dept Comp, Hong Kong, Peoples R China.;Au, MH (corresponding author), Univ Hong Kong, Dept Comp Sci, Hong Kong, Peoples R China.","allenau@cs.hku.hk","Ye, Qingqing/ACN-3025-2022; Au, Man Ho/A-2863-2012","Ye, Qingqing/0000-0003-1547-2847; Au, Man Ho/0000-0003-2068-9530; Yang, Xiao/0000-0002-2468-7615; Liu, Joseph/0000-0001-6656-6240","Monash-Hong Kong Polytechnic University (HKPU)-Collinstar Capital Blockchain Research Laboratory","Monash-Hong Kong Polytechnic University (HKPU)-Collinstar Capital Blockchain Research Laboratory","This work was supported in part by the Monash-Hong Kong Polytechnic University (HKPU)-Collinstar Capital Blockchain Research Laboratory.","","34","3","3","2","6","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","PISCATAWAY","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","1556-6013","1556-6021","","IEEE T INF FOREN SEC","IEEE Trans. Inf. Forensic Secur.","","2020","15","","","","","","3023","3034","","10.1109/TIFS.2020.2976607","http://dx.doi.org/10.1109/TIFS.2020.2976607","","","12","Computer Science, Theory & Methods; Engineering, Electrical & Electronic","Science Citation Index Expanded (SCI-EXPANDED)","Computer Science; Engineering","LC2ZL","","","","","2022-12-04","WOS:000525195000001","View Full Record in Web of Science"
"C","Chan, WK; Chin, JJ; Goh, VT","","","IEEE","Chan, Wai Kok; Chin, Ji-Jian; Goh, Vik Tor","","","Evolution of Bitcoin Addresses from Security Perspectives","INTERNATIONAL CONFERENCE FOR INTERNET TECHNOLOGY AND SECURED TRANSACTIONS (ICITST-2020)","International Conference for Internet Technology and Secured Transactions","","English","Proceedings Paper","15th International Conference for Internet Technology and Secured Transactions (ICITST)","DEC 08-10, 2020","ELECTR NETWORK","","","bitcoin address survey; bitcoin address tutorial","","Since Satoshi Nakamoto launched bitcoin in 2009, there have been many improvements in bitcoin addresses that are required to fulfill newer requirements. These improvements have made the learning curve steeper for a regular user. Many readers do not know the real motivation why certain features are implemented or otherwise. In this paper, the evolution of bitcoin addresses is clearly described so that users can better understand the progress made in bitcoin. This paper also explains the motivation for some features' motivation and why these features were implemented in a certain way.","[Chan, Wai Kok] Multimedia Univ, Fac Informat & Comp, Cyberjaya, Selangor, Malaysia; [Chin, Ji-Jian; Goh, Vik Tor] Multimedia Univ, Fac Engn, Cyberjaya, Selangor, Malaysia","Multimedia University; Multimedia University","Chan, WK (corresponding author), Multimedia Univ, Fac Informat & Comp, Cyberjaya, Selangor, Malaysia.","wkchan@mmu.edu.my; jjchin@mmu.edu.my; vtgoh@mmu.edu.my","Chin, Ji-Jian/K-8601-2013","Chin, Ji-Jian/0000-0001-9809-6976","Ministry of Education of Malaysia [FRGS/1/2019/ICT04/MMU/02/5]","Ministry of Education of Malaysia","The authors are grateful for the financial assistance through the Ministry of Education of Malaysia in supporting this work through the Fundamental Research Grant Scheme (FRGS/1/2019/ICT04/MMU/02/5). The 2nd author would like to thank the Information Security Lab at MIMOS Berhad which hosted his visit during which this article was written.","","12","0","0","0","3","IEEE","NEW YORK","345 E 47TH ST, NEW YORK, NY 10017 USA","2164-7046","","978-1-913572-21-1","INT CONF INTERNET","","","2020","","","","","","","129","134","","10.23919/ICITST51030.2020.9351346","http://dx.doi.org/10.23919/ICITST51030.2020.9351346","","","6","Computer Science, Information Systems; Computer Science, Theory & Methods","Conference Proceedings Citation Index - Science (CPCI-S)","Computer Science","BR6NA","","","","","2022-12-04","WOS:000662127900019","View Full Record in Web of Science"
